paper_fig,benchmark_group,profile,dataset,workload,scheme,variant,N,ops,query_ratio,update_ratio,budget,selectivity,metric_name,metric_unit,metric_source,evaluator,auc_mode,is_paper_metric,mean,std,min,max,sample_count,seeds,source_csv,source_row_id,source_archive_or_run_id,config_file,config_hash,notes
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,LOCI-NoPublicRefresh,,50000,,,,,,max_cert_probe_auc,auc,derived,derived_summary,adv_auc,true,1.0,0.0,1.0,1.0,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__LOCI-NoPublicRefresh__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,"derived_from=layout_shape_adv_auc,patch_pressure_adv_auc,maintenance_cause_adv_auc"
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,LOCI-NoPublicRefresh,,50000,,,,,,patch_pressure_adv_auc,auc,derived,derived_summary,adv_auc,true,0.5,0.0,0.5,0.5,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__LOCI-NoPublicRefresh__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,derived_from=patch_pressure_auc
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,LOCI-NoPublicRefresh,,50000,,,,,,patch_pressure_auc,auc,attack_eval.py,attack_eval,raw_auc,true,0.5,0.0,0.5,0.5,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__LOCI-NoPublicRefresh__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,PGM-Learned-GlobalPad,,50000,,,,,,diagnostic_hotspot_auc,auc,attack_eval.py,attack_eval,raw_auc,false,0.9948717948717949,0.0,0.9948717948717949,0.9948717948717949,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__ResponseGlobalPad__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,preserved_from=hotspot_auc; excluded_from=max_cert_probe_auc
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,PGM-Learned-GlobalPad,,50000,,,,,,diagnostic_region_auc,auc,attack_eval.py,attack_eval,raw_auc,false,0.9603448275862069,0.0,0.9603448275862069,0.9603448275862069,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__ResponseGlobalPad__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,preserved_from=region_auc; excluded_from=max_cert_probe_auc
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,PGM-Learned-GlobalPad,,50000,,,,,,layout_shape_adv_auc,auc,derived,derived_summary,adv_auc,true,0.5,0.0,0.5,0.5,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__ResponseGlobalPad__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,derived_from=layout_shape_auc
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,PGM-Learned-GlobalPad,,50000,,,,,,layout_shape_auc,auc,attack_eval.py,attack_eval,raw_auc,true,0.5,0.0,0.5,0.5,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__ResponseGlobalPad__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,PGM-Learned-GlobalPad,,50000,,,,,,maintenance_cause_adv_auc,auc,derived,derived_summary,adv_auc,true,0.5,0.0,0.5,0.5,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__ResponseGlobalPad__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,derived_from=maintenance_cause_auc
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,PGM-Learned-GlobalPad,,50000,,,,,,maintenance_cause_auc,auc,attack_eval.py,attack_eval,raw_auc,true,0.5,0.0,0.5,0.5,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__ResponseGlobalPad__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,PGM-Learned-GlobalPad,,50000,,,,,,max_cert_probe_auc,auc,derived,derived_summary,adv_auc,true,0.5,0.0,0.5,0.5,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__ResponseGlobalPad__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,"derived_from=layout_shape_adv_auc,patch_pressure_adv_auc,maintenance_cause_adv_auc"
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,PGM-Learned-GlobalPad,,50000,,,,,,patch_pressure_adv_auc,auc,derived,derived_summary,adv_auc,true,0.5,0.0,0.5,0.5,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__ResponseGlobalPad__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,derived_from=patch_pressure_auc
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,PGM-Learned-GlobalPad,,50000,,,,,,patch_pressure_auc,auc,attack_eval.py,attack_eval,raw_auc,true,0.5,0.0,0.5,0.5,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__ResponseGlobalPad__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,PGM-Learned-Naive,,50000,,,,,,diagnostic_hotspot_auc,auc,attack_eval.py,attack_eval,raw_auc,false,0.9948717948717949,0.0,0.9948717948717949,0.9948717948717949,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__PGM-Learned-Naive__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,preserved_from=hotspot_auc; excluded_from=max_cert_probe_auc
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,PGM-Learned-Naive,,50000,,,,,,diagnostic_region_auc,auc,attack_eval.py,attack_eval,raw_auc,false,0.9655172413793104,0.0,0.9655172413793104,0.9655172413793104,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__PGM-Learned-Naive__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,preserved_from=region_auc; excluded_from=max_cert_probe_auc
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,PGM-Learned-Naive,,50000,,,,,,layout_shape_adv_auc,auc,derived,derived_summary,adv_auc,true,0.9807692307692307,0.0,0.9807692307692307,0.9807692307692307,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__PGM-Learned-Naive__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,derived_from=layout_shape_auc
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,PGM-Learned-Naive,,50000,,,,,,layout_shape_auc,auc,attack_eval.py,attack_eval,raw_auc,true,0.9807692307692307,0.0,0.9807692307692307,0.9807692307692307,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__PGM-Learned-Naive__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,PGM-Learned-Naive,,50000,,,,,,maintenance_cause_adv_auc,auc,derived,derived_summary,adv_auc,true,0.5,0.0,0.5,0.5,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__PGM-Learned-Naive__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,derived_from=maintenance_cause_auc
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,PGM-Learned-Naive,,50000,,,,,,maintenance_cause_auc,auc,attack_eval.py,attack_eval,raw_auc,true,0.5,0.0,0.5,0.5,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__PGM-Learned-Naive__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,PGM-Learned-Naive,,50000,,,,,,max_cert_probe_auc,auc,derived,derived_summary,adv_auc,true,0.9948717948717949,0.0,0.9948717948717949,0.9948717948717949,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__PGM-Learned-Naive__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,"derived_from=layout_shape_adv_auc,patch_pressure_adv_auc,maintenance_cause_adv_auc"
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,PGM-Learned-Naive,,50000,,,,,,patch_pressure_adv_auc,auc,derived,derived_summary,adv_auc,true,0.9948717948717949,0.0,0.9948717948717949,0.9948717948717949,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__PGM-Learned-Naive__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,derived_from=patch_pressure_auc
fig7_attack_auc,fig2_component_ablation,quick,synthetic,skew_hotspot_drift_mix,PGM-Learned-Naive,,50000,,,,,,patch_pressure_auc,auc,attack_eval.py,attack_eval,raw_auc,true,0.9948717948717949,0.0,0.9948717948717949,0.9948717948717949,1,0,artifact_results_sp/raw/quick/fig7_attack_auc/attacks/fig2__PGM-Learned-Naive__synthetic__skew_hotspot_drift_mix__N50000__s0.csv,row0,eval_quick_sp,artifact_results_sp/configs/eval_quick.yaml,cc6a12cb9a41f1f2cd63c8b8edee329f0df3cd7e835606ac1145943d66333671,
